,Manufacturer,Category,Screen Size,Screen,CPU,RAM,Storage,GPU,Operating System,Weight,Price
935,Dell,Gaming,17.3,2560x1440,Intel Core i7,16,512GB SSD +  1TB HDD,Nvidia GeForce,Windows,4.36,275800
936,HP,Gaming,17.3,1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.75,139900
937,Asus,Notebook,17.3,1600x900,Intel Pentium Quad,4,1TB HDD,Nvidia GeForce,Windows,2.8,53000
938,Acer,Notebook,15.6,1366x768,Intel Core i5,4,500GB HDD,Intel HD,Windows,2.23,61900
939,Toshiba,Notebook,15.6,1366x768,Intel Core i5,8,256GB SSD,Intel HD,Windows,2.2,111900
940,Lenovo,2 in 1 Convertible,11.3,1920x1080,Intel Core M,8,256GB SSD,Intel HD,Windows,1.1,129900
941,Lenovo,Gaming,15.6,1920x1080,AMD FX 8800P,16,512GB SSD +  1TB HDD,AMD Radeon,Windows,2.5,99900
942,Dell,Ultrabook,12.5,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.36,147220
943,Lenovo,Notebook,15.6,1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce,No OS,2.2,68500
944,Dell,Notebook,17.3,1600x900,Intel Core i3,4,1TB HDD,AMD Radeon,Windows,2.36,65900
945,Acer,Notebook,14.0,1366x768,Intel Celeron Dual,4,32GB Flash Storage,Intel HD,Chrome OS,1.68,34900
946,HP,Workstation,15.6,1920x1080,Intel Core i7,8,8GB SSD,Nvidia Quadro,Windows,2.0,224900
947,Dell,Ultrabook,14.0,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.36,177500
948,Toshiba,Notebook,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.2,146000
949,Asus,2 in 1 Convertible,12.5,1920x1080,Intel Core M,8,64GB Flash Storage,Intel HD,Chrome OS,1.2,115900
950,Lenovo,Ultrabook,14.0,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.7,148899
951,Dell,Gaming,17.3,3840x2160,Intel Core i7,16,512GB SSD +  1TB HDD,Nvidia GeForce,Windows,4.36,315400
952,Dell,2 in 1 Convertible,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.24,189900
953,HP,2 in 1 Convertible,11.6,1366x768,Intel Pentium Quad,4,256GB SSD,Intel HD,Windows,1.45,77500
954,Dell,Ultrabook,13.3,3200x1800,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.3,126800
955,Acer,2 in 1 Convertible,11.6,1366x768,Intel Celeron Dual,4,32GB Flash Storage,Intel HD,Chrome OS,1.25,38900
956,Toshiba,Notebook,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.2,153500
957,Lenovo,Ultrabook,12.5,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.36,176000
958,Acer,Notebook,15.6,1920x1080,Intel Core i5,12,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.4,100900
959,Toshiba,Ultrabook,12.5,1920x1080,Intel Core i7,8,512GB SSD,Intel HD,Windows,1.1,179000
960,HP,Notebook,15.6,1366x768,Intel Core i5,8,1TB HDD,Nvidia GeForce,Windows,2.04,84650
961,Dell,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,AMD Radeon,Linux,2.25,46562
962,Dell,Notebook,15.6,1366x768,Intel Core i5,4,500GB HDD,Intel HD,Windows,1.9,82500
963,HP,Notebook,15.6,1920x1080,Intel Core i3,4,500GB HDD,Intel HD,Windows,2.04,68500
964,Dell,Gaming,17.3,1920x1080,Intel Core i7,32,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,4.42,314900
965,Lenovo,Notebook,15.6,1920x1080,Intel Core i5,6,256GB SSD,Nvidia GeForce,Windows,2.4,69500
966,Dell,2 in 1 Convertible,13.3,3200x1800,Intel Core i7,16,512GB SSD,Intel HD,Windows,1.22,189900
967,Dell,Ultrabook,14.0,2560x1440,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.5,196298
968,Dell,Gaming,17.3,1920x1080,Intel Core i7,32,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,4.42,280000
969,Toshiba,Notebook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.95,118000
970,Asus,Gaming,17.3,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.73,204990
971,HP,Notebook,15.6,1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.04,97900
972,Lenovo,Notebook,14.0,1366x768,Intel Core i5,4,508GB Hybrid,Intel HD,Windows,1.7,100200
973,Asus,2 in 1 Convertible,15.6,3840x2160,Intel Core i7,16,512GB SSD +  2TB HDD,Nvidia GeForce,Windows,2.3,179900
974,HP,Notebook,15.6,1366x768,Intel Core i7,6,1TB HDD,Intel HD,Windows,2.04,57900
975,Asus,Gaming,17.3,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.99,174900
976,Dell,2 in 1 Convertible,15.6,1920x1080,Intel Core i7,12,512GB SSD,Intel HD,Windows,2.19,129900
977,Toshiba,Notebook,13.3,1920x1080,Intel Core i5,4,128GB SSD,Intel HD,Windows,1.2,119500
978,Lenovo,Notebook,15.6,1920x1080,AMD A12 Series,6,256GB SSD,AMD Radeon,Windows,2.2,54900
979,Fujitsu,Notebook,15.6,1366x768,Intel Core i5,4,256GB SSD,Intel HD,Windows,2.3,64900
980,Toshiba,Notebook,14.0,1366x768,Intel Core i5,4,500GB HDD,Intel HD,Windows,1.75,91500
981,Dell,Notebook,15.6,1366x768,Intel Core i5,4,500GB HDD,AMD Radeon,Windows,2.25,59900
982,HP,Notebook,15.6,1920x1080,Intel Core i5,8,1TB HDD,Intel HD,Windows,2.04,80600
983,Lenovo,Gaming,15.6,1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.5,118900
984,Dell,Notebook,15.6,1366x768,Intel Core i7,8,1TB HDD,AMD Radeon,Windows,2.36,74900
985,Dell,Notebook,14.0,1920x1080,Intel Core i5,8,128GB SSD,Intel HD,Windows,1.6,111900
986,HP,Netbook,12.5,1920x1080,Intel Core M,8,512GB SSD,Intel HD,Windows,0.97,190800
987,HP,Notebook,15.6,1920x1080,Intel Core i3,4,128GB SSD +  1TB HDD,AMD Radeon,Windows,2.1,49900
988,Lenovo,Notebook,15.6,1366x768,Intel Celeron Dual,4,128GB SSD,Intel HD,No OS,1.9,27062
989,Lenovo,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,2.3,134900
990,Dell,2 in 1 Convertible,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.68,88900
991,Asus,Notebook,13.3,3200x1800,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.4,115000
992,HP,Ultrabook,13.3,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.11,134900
993,Acer,Notebook,15.6,1366x768,Intel Pentium Quad,4,500GB HDD,Intel HD,Windows,2.4,38000
994,Asus,Gaming,15.6,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.5,179900
995,HP,Ultrabook,14.0,1920x1080,Intel Core i7,8,512GB SSD,Intel HD,Windows,1.48,208900
996,Acer,Gaming,15.6,1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.7,126000
997,HP,Notebook,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.34,118900
998,Dell,Notebook,15.6,1366x768,Intel Core i3,4,128GB SSD,Intel HD,Windows,2.18,54700
999,HP,Notebook,14.0,1366x768,Intel Core i5,4,500GB HDD,Intel HD,Windows,1.64,77900
1000,Toshiba,Notebook,13.3,1920x1080,Intel Core i5,4,128GB SSD,Intel HD,Windows,1.2,119500
1001,HP,Notebook,14.0,1366x768,Intel Core i5,4,256GB SSD,Intel HD,Windows,1.48,109999
1002,HP,Notebook,14.0,1920x1080,Intel Core i5,4,256GB SSD,Intel HD,Windows,1.95,120500
1003,HP,Ultrabook,14.0,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.43,144900
1004,HP,Notebook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows,1.64,104926
1005,HP,Notebook,14.0,1366x768,Intel Core i3,4,500GB HDD,Intel HD,Windows,1.64,68400
1006,Dell,Gaming,15.6,1920x1080,Intel Core i5,8,1TB Hybrid,Nvidia GeForce,Windows,2.65,94900
1007,HP,Ultrabook,12.5,1920x1080,Intel Core i5,4,500GB HDD,Intel HD,Windows,1.26,153900
1008,HP,Notebook,14.0,1920x1080,Intel Core i5,4,256GB SSD,Intel HD,Windows,1.48,159000
1009,HP,Ultrabook,14.0,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.54,188721
1010,HP,Notebook,13.3,1366x768,Intel Core i3,4,500GB HDD,Intel HD,Windows,1.49,80000
1011,Toshiba,Notebook,13.3,1366x768,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.5,121000
1012,HP,Notebook,15.6,1366x768,Intel Core i3,4,256GB SSD,Intel HD,Windows,2.04,76999
1013,Lenovo,Notebook,17.3,3840x2160,Intel Core i7,16,512GB SSD,Nvidia Quadro,Windows,2.4,296800
1014,Toshiba,Notebook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.47,149000
1015,HP,Notebook,14.0,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.43,222900
1016,Dell,2 in 1 Convertible,15.6,1920x1080,Intel Core i3,4,1TB HDD,Intel HD,Windows,2.08,79599
1017,Toshiba,Ultrabook,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.2,159000
1018,HP,Notebook,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.11,114900
1019,HP,Notebook,14.0,1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows,1.64,118543
1020,Dell,Notebook,15.6,1920x1080,Intel Core i5,8,500GB HDD,Intel HD,Windows,2.09,104644
1021,HP,Ultrabook,12.5,1366x768,Intel Core i5,4,256GB SSD,Intel HD,Windows,1.26,155900
1022,HP,Notebook,14.0,1366x768,Intel Core i5,4,500GB HDD,Intel HD,Windows,2.31,118900
1023,HP,Notebook,14.0,1366x768,Intel Core i5,4,500GB HDD,Intel HD,Windows,1.95,106000
1024,Dell,Ultrabook,13.3,3200x1800,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.29,162400
1025,HP,Notebook,17.3,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows,2.63,108000
1026,HP,Notebook,14.0,1366x768,Intel Core i5,4,256GB SSD,Intel HD,Windows,1.64,97300
1027,Acer,Notebook,15.6,1366x768,AMD A9 Series,6,1TB HDD,AMD Radeon,Windows,2.1,40900
1028,MSI,Gaming,17.3,1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.7,119180
1029,HP,Notebook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.95,119500
1030,HP,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.84,122899
1031,HP,Ultrabook,12.5,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.26,134900
1032,HP,Notebook,15.6,1366x768,Intel Core i5,4,500GB HDD,Intel HD,Windows,2.04,74200
1033,Toshiba,Ultrabook,14.0,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.47,172500
1034,Dell,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,2.09,106295
1035,HP,Notebook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.64,101051
1036,Lenovo,2 in 1 Convertible,15.6,1920x1080,Intel Core i7,4,256GB SSD,Intel HD,Windows,1.8,84700
1037,Vero,Notebook,14.0,1366x768,Intel Atom X5,2,32GB Flash Storage,Intel HD,Windows,1.45,21080
1038,Toshiba,Notebook,15.6,1920x1080,Intel Core i7,16,256GB SSD,Nvidia GeForce,Windows,2.4,142500
1039,Lenovo,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,2.3,104960
1040,HP,Notebook,14.0,1920x1080,Intel Core i5,4,500GB HDD,Intel HD,Windows,1.54,100000
1041,HP,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD +  500GB HDD,Intel HD,Windows,1.84,210334
1042,HP,Notebook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.43,146900
1043,MSI,Gaming,17.3,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,3.78,154564
1044,Lenovo,Gaming,17.3,1920x1080,Intel Core i7,16,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,4.6,228999
1045,Asus,Netbook,11.6,1366x768,Intel Celeron Dual,4,16GB Flash Storage,Intel HD,Chrome OS,1.2,28790
1046,Lenovo,Notebook,14.0,2560x1440,Intel Core i7,16,256GB SSD,Intel HD,Windows,1.1,262000
1047,HP,Notebook,15.6,1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows,1.91,97900
1048,Dell,2 in 1 Convertible,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,2.3,109400
1049,HP,Notebook,15.6,1366x768,Intel Core i5,4,256GB SSD,Intel HD,Windows,2.04,97900
1050,Dell,Ultrabook,13.3,3200x1800,Intel Core i7,16,1TB SSD,Intel HD,Windows,1.2,225400
1051,HP,Notebook,15.6,1366x768,Intel Core i3,4,500GB HDD,Intel HD,Windows,2.31,70515
1052,HP,Notebook,15.6,1366x768,Intel Core i5,4,500GB HDD,Intel HD,No OS,1.96,49900
1053,Acer,Notebook,15.6,1366x768,AMD A8 Series,8,1TB HDD,AMD Radeon,Windows,2.4,44900
1054,Dell,2 in 1 Convertible,13.3,1920x1080,Intel Core i7,12,256GB SSD,Intel HD,Windows,1.6,129900
1055,MSI,Gaming,15.6,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.94,181900
1056,HP,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,2.04,107000
1057,Asus,Gaming,17.3,1920x1080,Intel Core i7,16,1TB HDD,Nvidia GeForce,No OS,4.0,99800
1058,Dell,Notebook,15.6,1920x1080,Intel Core i5,4,1TB HDD,Intel HD,Windows,2.25,55900
1059,Dell,Notebook,15.6,1920x1080,Intel Core i7,16,2TB HDD,AMD Radeon,Windows,2.32,98999
1060,MSI,Gaming,15.6,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,1.8,192900
1061,Dell,Ultrabook,13.3,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.29,145800
1062,Asus,Gaming,17.3,1920x1080,Intel Core i7,64,1TB SSD,Nvidia GeForce,Windows,3.58,397500
1063,Dell,2 in 1 Convertible,13.3,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.62,79801
1064,Dell,Gaming,15.6,3840x2160,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,3.21,132900
1065,Apple,Ultrabook,12.0,2304x1440,Intel Core M,8,256GB Flash Storage,Intel HD,Mac OS,0.92,130000
1066,Dell,Notebook,15.6,1366x768,Intel Core i3,4,500GB HDD,Intel HD,Windows,2.06,48198
1067,HP,Notebook,15.6,1366x768,Intel Core i5,4,500GB HDD,Intel HD,Windows,2.31,119900
1068,HP,Ultrabook,12.5,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.26,119900
1069,HP,Notebook,13.3,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.49,109000
1070,Lenovo,Ultrabook,12.5,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.3,171349
1071,Lenovo,Notebook,17.3,1600x900,Intel Core i5,8,1TB HDD,AMD Radeon,Windows,3.0,65900
1072,Lenovo,Notebook,15.6,1920x1080,Intel Core i5,4,1TB HDD,Nvidia GeForce,Windows,2.3,97700
1073,MSI,Gaming,17.3,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,3.78,249900
1074,Lenovo,Notebook,15.6,1366x768,Intel Core i5,4,500GB HDD,Intel HD,Windows,2.1,54000
1075,HP,Notebook,15.6,1920x1080,Intel Core i5,4,500GB HDD,Intel HD,Windows,2.31,94000
1076,Lenovo,Ultrabook,12.5,2560x1440,Intel Core M,8,512GB SSD,Intel HD,Windows,0.99,139900
1077,Lenovo,Gaming,17.3,1920x1080,Intel Core i7,32,512GB SSD +  1TB Hybrid,Nvidia GeForce,Windows,4.6,324000
1078,Lenovo,2 in 1 Convertible,10.1,1920x1200,Intel Atom x5,4,64GB Flash Storage,Intel HD,Windows,0.69,64627
1079,HP,Ultrabook,13.3,3840x2160,Intel Core i7,16,512GB SSD,Intel HD,Windows,1.3,204900
1080,Dell,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,2.18,75000
1081,HP,Notebook,14.0,1920x1080,Intel Core i5,4,500GB HDD,Intel HD,Windows,1.54,103099
1082,HP,Workstation,15.6,1920x1080,Intel Core i7,8,256GB SSD,AMD FirePro,Windows,1.9,149500
1083,Lenovo,Notebook,14.0,1920x1080,Intel Core i5,8,1GB SSD,Intel HD,Windows,1.7,119900
1084,HP,Notebook,13.3,3200x1800,Intel Pentium Dual,4,32GB Flash Storage,Intel HD,Chrome OS,1.29,61500
1085,Acer,Notebook,15.6,1366x768,AMD A8 Series,4,500GB HDD,AMD Radeon,Windows,2.4,38700
1086,Dell,Notebook,15.6,1366x768,Intel Pentium Quad,4,500GB HDD,Intel HD,Linux,2.2,39349
1087,HP,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,Intel HD,No OS,1.86,34599
1088,Asus,Gaming,17.3,1920x1080,Intel Core i7,8,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.7,159900
1089,Dell,Ultrabook,13.3,1920x1080,Intel Core i5,4,256GB SSD,AMD Radeon,Windows,1.4,81835
1090,HP,Netbook,12.5,1366x768,Intel Core i5,4,128GB SSD,Intel HD,Windows,2.4,159900
1091,Acer,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.4,79900
1092,Dell,Notebook,15.6,1920x1080,Intel Core i5,8,1TB HDD,AMD Radeon,Windows,2.36,63880
1093,MSI,Gaming,17.3,1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows,2.6,159900
1094,HP,Notebook,15.6,1366x768,Intel Pentium Quad,4,1TB HDD,Intel HD,Windows,1.96,50000
1095,Asus,Gaming,17.3,1920x1080,Intel Core i7,16,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,4.3,229900
1096,Dell,Ultrabook,12.5,1366x768,Intel Core i3,4,500GB HDD,Intel HD,Windows,1.5,113515
1097,Dell,Ultrabook,12.5,1366x768,Intel Core i3,4,128GB SSD,Intel HD,Windows,1.5,116697
1098,Acer,Notebook,15.6,1366x768,Intel Celeron Dual,4,16GB SSD,Intel HD,Chrome OS,2.2,20900
1099,HP,Workstation,17.3,1920x1080,Intel Core i7,8,1TB HDD,AMD FirePro,Windows,3.0,289900
1100,Lenovo,Gaming,15.6,1920x1080,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows,2.4,119900
1101,Dell,Ultrabook,12.5,1366x768,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.5,141310
1102,MSI,Gaming,17.3,1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.9,151119
1103,Lenovo,2 in 1 Convertible,15.6,1920x1080,Intel Core i5,4,256GB SSD,Intel HD,Windows,2.1,86700
1104,HP,Notebook,15.6,1920x1080,AMD A6 Series,4,1TB HDD,AMD Radeon,Windows,2.1,39800
1105,Asus,Gaming,15.6,1920x1080,Intel Core i7,16,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.59,133900
1106,HP,Notebook,13.3,3200x1800,Intel Core M,8,256GB SSD,Intel HD,Windows,1.16,169900
1107,Dell,Notebook,15.6,1366x768,Intel Core i5,4,500GB HDD,AMD Radeon,Windows,2.24,76915
1108,Lenovo,Notebook,15.6,1366x768,Intel Core i3,4,128GB SSD,Intel HD,Windows,2.1,42900
1109,HP,Ultrabook,13.3,1920x1080,Intel Core i7,8,512GB SSD,Intel HD,Windows,1.16,196900
1110,Lenovo,2 in 1 Convertible,10.1,1920x1200,Intel Atom x5,4,64GB Flash Storage,Intel HD,Android,0.69,54900
1111,Dell,Ultrabook,13.3,1920x1080,Intel Core i7,8,256GB SSD,Intel Iris,Windows,1.23,137900
1112,Lenovo,Gaming,17.3,1920x1080,Intel Core i7,16,256GB SSD +  1TB Hybrid,Nvidia GeForce,Windows,4.6,274999
1113,Razer,Ultrabook,12.5,3840x2160,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.25,102900
1114,Toshiba,Ultrabook,13.3,1920x1080,Intel Core i7,16,512GB SSD,Intel HD,Windows,1.05,222600
1115,Asus,Gaming,17.3,1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,3.52,131249
1116,Vero,Notebook,13.3,1920x1080,Intel Atom X5,4,32GB Flash Storage,Intel HD,Windows,1.35,19600
1117,HP,Notebook,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.16,169000
1118,HP,Notebook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.43,151300
1119,Dell,Notebook,15.6,1366x768,Intel Core i5,4,500GB HDD,Intel HD,Linux,2.09,52363
1120,Asus,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,Intel HD,Windows,2.0,43500
1121,Lenovo,2 in 1 Convertible,14.0,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.8,166900
1122,Lenovo,2 in 1 Convertible,10.1,1920x1200,Intel Atom x5,4,64GB Flash Storage,Intel HD,Windows,0.69,47900
1123,HP,Ultrabook,12.5,1366x768,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.26,189500
1124,Lenovo,Gaming,15.6,1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,No OS,2.4,98900
1125,HP,Gaming,17.3,1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,3.35,112900
1126,HP,Notebook,15.6,1366x768,Intel Core i7,8,2TB HDD,Intel HD,Windows,2.04,62900
1127,Lenovo,2 in 1 Convertible,14.0,1920x1080,Intel Core i7,8,512GB SSD,Nvidia Quadro,Windows,1.8,205038
1128,Asus,Notebook,14.0,1366x768,Intel Celeron Dual,4,32GB Flash Storage,Intel HD,Windows,1.5,27800
1129,HP,Ultrabook,15.6,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.84,75200
1130,Acer,Notebook,15.6,1920x1080,Intel Core i5,4,1TB HDD,Nvidia GeForce,Windows,2.23,61600
1131,Lenovo,Notebook,15.6,1920x1080,Intel Core i7,16,1TB Hybrid,AMD Radeon,Windows,2.5,109900
1132,HP,Workstation,17.3,1920x1080,Intel Core i7,8,256GB SSD,Nvidia Quadro,Windows,3.0,394940
1133,Dell,Notebook,15.6,1366x768,Intel Core i5,8,1TB HDD,AMD Radeon,Windows,2.5,78400
1134,MSI,Gaming,17.3,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,3.78,239900
1135,HP,Ultrabook,15.6,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.88,217172
1136,Lenovo,2 in 1 Convertible,14.0,2560x1440,Intel Core i7,16,512GB SSD,Intel HD,Windows,2.8,244000
1137,MSI,Gaming,15.6,1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.4,114280
1138,HP,2 in 1 Convertible,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.48,162900
1139,HP,Workstation,15.6,1920x1080,Intel Core i7,8,256GB SSD,Nvidia Quadro,Windows,2.59,222900
1140,HP,2 in 1 Convertible,13.3,2560x1440,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.48,179900
1141,HP,Workstation,15.6,1920x1080,Intel Core i7,8,256GB SSD,Nvidia Quadro,Windows,2.0,189900
1142,HP,Ultrabook,12.5,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.26,229695
1143,Dell,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows,2.18,100990
1144,HP,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.88,157900
1145,Lenovo,2 in 1 Convertible,14.0,2560x1440,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.27,233900
1146,Lenovo,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,Intel HD,No OS,1.9,33900
1147,HP,Notebook,15.6,1366x768,AMD E Series,4,500GB HDD,AMD Radeon,Windows,1.86,29700
1148,Lenovo,Notebook,15.6,1920x1080,Intel Core i5,8,1TB HDD,AMD Radeon,No OS,2.32,59900
1149,Dell,Gaming,15.6,1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows,2.62,119900
1150,Dell,Notebook,15.6,3840x2160,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows,2.04,225068
1151,HP,Notebook,15.6,1920x1080,AMD A6 Series,4,256GB SSD,AMD Radeon,Windows,1.91,47889
1152,MSI,Gaming,17.3,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.7,149280
1153,Lenovo,Ultrabook,14.0,1920x1080,Intel Core i7,12,512GB SSD,Intel HD,Windows,1.4,229900
1154,Lenovo,Notebook,15.6,1920x1080,Intel Core i5,8,1TB Hybrid,AMD Radeon,Windows,2.5,78849
1155,HP,2 in 1 Convertible,13.3,2560x1440,Intel Core i7,8,512GB SSD,Intel HD,Windows,1.48,204100
1156,Lenovo,Ultrabook,14.0,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.7,149900
1157,MSI,Gaming,14.0,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,1.7,176900
1158,HP,Gaming,15.6,1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows,2.62,89900
1159,Lenovo,Notebook,15.6,1366x768,Intel Core i3,8,1TB HDD,Intel HD,Windows,2.2,45900
1160,HP,Notebook,15.6,1366x768,Intel Core i5,4,500GB HDD,Intel HD,No OS,2.1,47699
1161,Dell,Gaming,15.6,3840x2160,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.62,149800
1162,Lenovo,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.95,139000
1163,Lenovo,Notebook,15.6,1920x1080,Intel Core i3,4,1TB HDD,Nvidia GeForce,Windows,2.2,46800
1164,HP,Notebook,14.0,1366x768,Intel Celeron Dual,2,32GB Flash Storage,Intel HD,Windows,1.44,24900
1165,MSI,Gaming,15.6,1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows,2.2,83900
1166,HP,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.96,67900
1167,HP,Notebook,15.6,1920x1080,Intel Core i7,16,512GB SSD,Intel UHD,Windows,2.1,115900
